drink,drink_id,Category,cocktail_pic,Ingredients,Instructions
Van Vleet,12436,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/fgq2bl1492975771.jpg,"3 oz  Light rum,  1 oz  Maple syrup, 3 cl Orange Juice","Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve."
Vermouth Cassis,12442,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tswpxx1441554674.jpg,"1 1/2 oz  Dry Vermouth,  3/4 oz  Creme de Cassis, 1 oz  Lemon juice","Stir vermouth and creme de cassis in a highball glass with ice cubes. Fill with carbonated water, stir again, and serve."
Vesper,17218,Cocktail,http://www.thecocktaildb.com/images/media/drink/mtdxpa1504374514.jpg,"6 cl Gin,  1.5 cl Vodka, 
 Carbonated water","Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel."
Vesuvio,12444,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/26cq601492976203.jpg,"1 oz  Light rum,  1/2 oz  Sweet Vermouth, Juice of 1/2  Lemon, 1 tsp  Powdered sugar, 1  Egg white","Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve."
Veteran,12446,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/iwml9t1492976255.jpg,"2 oz  Dark rum,  1/2 oz  Cherry brandy",Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.
Victor,12450,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/voapgc1492976416.jpg,"1 1/2 oz  Gin,  1/2 oz  Sweet Vermouth, ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Victory Collins,12452,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/lx0lvs1492976619.jpg,"1 1/2 oz  Vodka,  3 oz  Lemon juice, 3 oz unsweetened  Grape juice, 1 tsp  Powdered sugar, 1 slice  Orange",Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice cubes. Add the slice of orange and serve.
Vodka And Tonic,12460,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/lmj2yt1504820500.jpg,"2 oz  Vodka,  
 Tonic water","Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve."
Vodka Fizz,16967,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/xwxyux1441254243.jpg,"2 oz  Vodka,  2 oz  Half-and-half, 2 oz  Limeade, 
 Ice, 
 Nutmeg","Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top."
Vodka Martini,14167,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qyxrqw1439906528.jpg,"1 1/2 oz  Vodka,  3/4 oz  Dry Vermouth, 2 oz  Limeade","Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve."
Vodka Russian,15403,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rpttur1454515129.jpg,"2 oz  Vodka,  
 Schweppes Russchian",Mix it as a ordinary drink .
Waikiki Beachcomber,12474,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysuqus1441208583.jpg,"3/4 oz  Triple sec,  3/4 oz  Gin, ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Whiskey Sour,12516,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/o56h041504352725.jpg,"2 oz  Blended whiskey,  Juice of 1/2  Lemon, 1/2 tsp  Powdered sugar, 1  Cherry, 1/2 slice  Lemon","Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice."
Whisky Mac,12518,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yvvwys1461867858.jpg,"1 1/2 oz  Scotch,  1 oz Green Ginger  Wine",Pour both of the ingredients into a wine goblet with no ice.
White Lady,17194,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/jofsaz1504352991.jpg,"4cl Gin,  3cl Triple Sec, ",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.
White Russian,12528,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vsrupw1472405732.jpg,"2 oz  Vodka,  1 oz  Coffee liqueur, 2cl Lemon Juice",Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.
Whitecap Margarita,16158,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/srpxxp1441209622.jpg,"1 cup  Ice,  2 oz  Tequila, 1/4 cup  Cream of coconut, 3 tblsp fresh  Lime juice",Place all ingredients in a blender and blend until smooth. This makes one drink.
Wine Cooler,13056,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/yutxtv1473344210.jpg,"2 oz white or  Red wine,  5 oz  Lemon-lime soda, 1/4 cup  Cream of coconut",Mix wine and soft drink. Pour into glass. Add ice.
Wine Punch,13058,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/txustu1473344310.jpg,"1 bottle  Red wine,  2  Lemon, 1 cup  Orange juice, 3  Orange, 1 cup  Pineapple juice",Combine all of the ingredients and pour over a block of ice.
Yellow Bird,17219,Cocktail,http://www.thecocktaildb.com/images/media/drink/2t9r6w1504374811.jpg,"3 cl White Rum,  1.5 cl Galliano, 1.5 cl Triple Sec, 1.5 cl Lime Juice",Shake and strain into a chilled cocktail glass
Yoghurt Cooler,12728,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/trttrv1441254466.jpg,"1 cup  Yoghurt,  1 cup  Fruit, 1.5 cl Triple Sec","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up. Note: Use lots of ice in this one - great on hot days! To add ice: Remove the center of the cover while the blender is on - drop 3 or 4 ice cubs and blend until they're completely crushed."
Zambeer,15933,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/bje5401485619578.jpg,"1 1/2 oz  Sambuca,  Add 10 oz  Root beer, 
 Ice",Mix sambuca with rootbeer and stir. Add ice
Zenmeister,15254,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qyuvsu1479209462.jpg,"1/2 oz  Jägermeister,  1/2 oz  Root beer",Mix together and enjoy
Ziemes Martini Apfelsaft,14157,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xnzr2p1485619687.jpg,"4 cl  Vermouth,  16 cl  Apple juice",Serve without ice. At least the juice shold have room temperature.
Zima Blaster,17027,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/1wifuv1485619797.jpg,"12 oz  Zima,  3 oz  Chambord raspberry liqueur","Fill glass with ice. Pour in Chambord, then fill with Zima. Mix and enjoy."
Zimadori Zinger,15801,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/bw8gzx1485619920.jpg,"1.5 oz  Midori melon liqueur,  12 oz  Zima",Pour Zima in a collins glass over ice and then pour the shot of Midori. Don't stir. Garnish with a cherry.
Zinger,14888,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/iixv4l1485620014.jpg,"4 shots  Peachtree schnapps,  4 shots  Surge",Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.
Zipperhead,16942,Shot,http://www.thecocktaildb.com/images/media/drink/r2qzhu1485620235.jpg,"1 shot  Chambord raspberry liqueur,  1 shot  Vodka, ","Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top)."
Zippy's Revenge,14065,Cocktail,http://www.thecocktaildb.com/images/media/drink/1sqm7n1485620312.jpg,"2 oz  Amaretto,  2 oz  Rum, Fill with  Soda water",Mix Kool-Aid to taste then add Rum and ammaretto. shake well to disolve the sugar in the Kool-Aid... serve cold
Zizi Coin-coin,14594,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/0fbo2t1485620752.jpg,"5 cl  Cointreau,  2 cl  Lemon juice,  cubes
 Ice,  or lime
 Lemon","Pour 5cl of Cointreau on ice, add 2cl of fresh lemon (or lime) juice, stir gently, and finally add slices of lemon/lime in glass."
Zoksel,15691,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/ft8ed01485620930.jpg,"
 Beer,  
 Root beer, 
 Lemonade,  slice
 Coca-Cola, 
 7-Up, 
 Creme de Cassis, 
 Lemon","No specific mixinginstructions, just poor every ingredient in one glass. The lemon goes with it."
Zorbatini,16963,Cocktail,http://www.thecocktaildb.com/images/media/drink/wtkqgb1485621155.jpg,"1 1/4 oz Stoli  Vodka,  1/4 oz  Ouzo",Prepare like a Martini. Garnish with a green olive.
Zorro,15328,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/kvvd4z1485621283.jpg,"2 cl  Sambuca,  2 cl  Bailey's irish cream, ",add all and pour black coffee and add whipped cream on top.
