drink,drink_id,Category,cocktail_pic,Ingredients,Instructions
Scotch Sour,12158,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/0dnb6k1504890436.jpg,"1 1/2 oz  Scotch,  Juice of 1/2  Lime, 1/2 tsp  Powdered sugar, 1/2 slice  Lemon, 1  Cherry","Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve."
Scottish Highland Liqueur,12854,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/upqvvp1441253441.jpg,"1 fifth  Johnnie Walker,  1 1/2 cup mild  Honey, 2 tsp dried and chopped  Angelica root, 1/4 tsp crushed  Fennel seeds, 2 2 inch strips  Lemon peel","Combine all ingreds in aging container. Cover tightly and shake gently several times during the first 24 hrs. After 24 hrs, remove the lemon zest. Cover again and let stand in a cool, dark place for 2 weeks, shaking gently every other day. Strain through a wire sieve to remove the angelica root and fennel. Return to aging container, cover and let stand undisturbed in a cool dark place for 6 months. Siphon or pour clear liqueur into a sterile bottle. The cloudy dregs may be saved for cooking."
Screaming Orgasm,13625,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/x894cs1504388670.jpg,"1 oz  Vodka,  1 1/2 oz  Bailey's irish cream, 2 tsp dried and chopped  Angelica root","Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first."
Screwdriver,12162,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg,"2 oz  Vodka,  ",Mix in a highball glass with ice. Garnish and serve.
Sea breeze,13377,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/7rfuks1504371562.jpg,"1 1/2 oz  Vodka,  4 oz  Cranberry juice, ",Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.
Sex on the Beach,12754,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twsvwr1469092365.jpg,"1 oz  Vodka,  3/4 oz  Peach schnapps, ,   Grapefruit juice",Build all ingredients in a highball glass filled with ice. Garnish with orange slice.
Shanghai Cocktail,12186,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ttyrxr1478820678.jpg,"1 oz Jamaican  Light rum,  1 tsp  Anisette, 1/2 tsp  Grenadine, Juice of 1/4  Lemon","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Shark Attack,16273,Cocktail,http://www.thecocktaildb.com/images/media/drink/uv96zr1504793256.jpg,"1 can  Lemonade,  3 cans  Water, 1/2 tsp  Grenadine",Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!
Sherry Eggnog,12188,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xwrpsv1478820541.jpg,"2 oz cream  Sherry,  1 tsp  Powdered sugar, 1 whole  Egg, 
 Milk,   Nutmeg","Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve."
Sherry Flip,12190,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qrryvq1478820428.jpg,"1 1/2 oz cream  Sherry,  2 tsp  Light cream, 1 tsp  Powdered sugar, 1 whole  Egg, 
 Nutmeg",Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.
